date,cash_type,card,money,coffee_name,time,hour,day,month,month_num
2024-03-07,card,ANON-0000-0000-0031,38.7,Latte,11:03:58,11,Thursday,March,3
2024-03-07,cash,,40.0,Latte,11:25:43,11,Thursday,March,3
2024-03-07,card,ANON-0000-0000-0032,28.9,Americano,15:40:22,15,Thursday,March,3
2024-03-07,card,ANON-0000-0000-0033,33.8,Americano with Milk,15:41:28,15,Thursday,March,3
2024-03-08,card,ANON-0000-0000-0012,28.9,Cortado,10:34:41,10,Friday,March,3
2024-03-08,card,ANON-0000-0000-0034,38.7,Cappuccino,12:22:28,12,Friday,March,3
2024-03-08,card,ANON-0000-0000-0035,28.9,Americano,13:53:02,13,Friday,March,3
2024-03-08,card,ANON-0000-0000-0012,28.9,Americano,14:44:12,14,Friday,March,3
2024-03-08,card,ANON-0000-0000-0033,28.9,Americano,14:45:11,14,Friday,March,3
2024-03-08,card,ANON-0000-0000-0012,33.8,Americano with Milk,14:46:11,14,Friday,March,3
2024-03-08,card,ANON-0000-0000-0036,38.7,Latte,18:57:51,18,Friday,March,3
2024-03-08,card,ANON-0000-0000-0037,38.7,Latte,18:59:24,18,Friday,March,3
2024-03-09,cash,,40.0,Hot Chocolate,11:49:37,11,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0038,24.0,Espresso,12:05:15,12,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0039,28.9,Americano,12:07:38,12,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0012,38.7,Cappuccino,12:09:47,12,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0040,28.9,Americano,12:13:03,12,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0040,28.9,Americano,12:14:26,12,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0041,38.7,Latte,13:09:22,13,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0042,33.8,Americano with Milk,13:41:06,13,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0043,28.9,Cortado,13:53:10,13,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0043,38.7,Cappuccino,13:54:36,13,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0009,33.8,Americano with Milk,14:08:01,14,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0044,38.7,Hot Chocolate,14:26:52,14,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0009,38.7,Cappuccino,19:17:57,19,Saturday,March,3
2024-03-09,card,ANON-0000-0000-0009,38.7,Hot Chocolate,19:19:10,19,Saturday,March,3
2024-03-10,cash,,30.0,Americano,07:44:18,7,Sunday,March,3
2024-03-10,cash,,35.0,Americano with Milk,07:45:29,7,Sunday,March,3
2024-03-10,cash,,40.0,Latte,10:06:02,10,Sunday,March,3
2024-03-10,card,ANON-0000-0000-0045,24.0,Espresso,11:19:20,11,Sunday,March,3
2024-03-10,cash,,35.0,Americano with Milk,17:51:03,17,Sunday,March,3
2024-03-10,card,ANON-0000-0000-0046,38.7,Latte,19:34:00,19,Sunday,March,3
2024-03-10,card,ANON-0000-0000-0046,28.9,Cortado,19:35:54,19,Sunday,March,3
2024-03-11,cash,,40.0,Latte,10:18:46,10,Monday,March,3
2024-03-11,cash,,40.0,Cappuccino,11:24:15,11,Monday,March,3
2024-03-11,cash,,30.0,Cortado,11:24:51,11,Monday,March,3
2024-03-11,cash,,30.0,Americano,11:26:44,11,Monday,March,3
2024-03-11,card,ANON-0000-0000-0035,38.7,Cappuccino,11:32:58,11,Monday,March,3
2024-03-11,card,ANON-0000-0000-0047,28.9,Americano,16:24:26,16,Monday,March,3
2024-03-11,card,ANON-0000-0000-0047,38.7,Latte,16:25:45,16,Monday,March,3
2024-03-11,card,ANON-0000-0000-0048,28.9,Cortado,16:50:49,16,Monday,March,3
2024-03-12,cash,,40.0,Latte,10:15:00,10,Tuesday,March,3
2024-03-12,card,ANON-0000-0000-0033,28.9,Americano,10:15:34,10,Tuesday,March,3
2024-03-12,card,ANON-0000-0000-0033,28.9,Cortado,10:16:24,10,Tuesday,March,3
2024-03-12,card,ANON-0000-0000-0049,38.7,Hot Chocolate,11:20:45,11,Tuesday,March,3
2024-03-12,card,ANON-0000-0000-0004,33.8,Americano with Milk,12:46:23,12,Tuesday,March,3
2024-03-12,card,ANON-0000-0000-0004,28.9,Americano,12:47:26,12,Tuesday,March,3
2024-03-12,card,ANON-0000-0000-0050,28.9,Americano,16:15:43,16,Tuesday,March,3
2024-03-13,card,ANON-0000-0000-0048,38.7,Hot Chocolate,11:06:43,11,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0004,28.9,Americano,11:48:16,11,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0051,28.9,Americano,12:18:06,12,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0051,28.9,Americano,12:19:05,12,Wednesday,March,3
2024-03-13,cash,,25.0,Espresso,12:34:30,12,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0052,33.8,Americano with Milk,14:26:40,14,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0053,24.0,Espresso,15:40:22,15,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0053,24.0,Espresso,15:41:20,15,Wednesday,March,3
2024-03-13,card,ANON-0000-0000-0054,24.0,Espresso,16:47:09,16,Wednesday,March,3
2024-03-14,cash,,40.0,Latte,10:02:12,10,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0055,38.7,Latte,10:28:33,10,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0055,38.7,Hot Chocolate,10:29:34,10,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0012,28.9,Cortado,13:27:29,13,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0012,28.9,Americano,13:28:24,13,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0056,33.8,Americano with Milk,13:51:59,13,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0057,24.0,Espresso,13:52:56,13,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0058,38.7,Latte,15:20:38,15,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0059,33.8,Americano with Milk,16:04:09,16,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0050,24.0,Espresso,16:54:38,16,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0019,38.7,Hot Chocolate,18:58:55,18,Thursday,March,3
2024-03-14,card,ANON-0000-0000-0012,28.9,Cortado,19:00:08,19,Thursday,March,3
2024-03-15,cash,,40.0,Latte,10:02:16,10,Friday,March,3
2024-03-15,card,ANON-0000-0000-0060,38.7,Hot Chocolate,10:53:02,10,Friday,March,3
2024-03-15,card,ANON-0000-0000-0012,28.9,Americano,18:19:27,18,Friday,March,3
2024-03-16,card,ANON-0000-0000-0061,33.8,Americano with Milk,12:06:55,12,Saturday,March,3
2024-03-16,card,ANON-0000-0000-0061,28.9,Americano,12:07:53,12,Saturday,March,3
2024-03-16,card,ANON-0000-0000-0009,28.9,Cortado,15:58:18,15,Saturday,March,3
2024-03-16,card,ANON-0000-0000-0009,28.9,Cortado,16:03:21,16,Saturday,March,3
2024-03-16,card,ANON-0000-0000-0012,28.9,Cortado,16:04:11,16,Saturday,March,3
2024-03-16,card,ANON-0000-0000-0062,33.8,Americano with Milk,17:58:07,17,Saturday,March,3
2024-03-17,cash,,40.0,Latte,10:10:21,10,Sunday,March,3
2024-03-17,card,ANON-0000-0000-0063,28.9,Cortado,12:55:26,12,Sunday,March,3
2024-03-18,card,ANON-0000-0000-0064,28.9,Cortado,11:17:59,11,Monday,March,3
2024-03-18,card,ANON-0000-0000-0003,28.9,Americano,15:31:39,15,Monday,March,3
2024-03-18,card,ANON-0000-0000-0003,28.9,Americano,15:32:38,15,Monday,March,3
2024-03-18,card,ANON-0000-0000-0003,28.9,Americano,15:33:36,15,Monday,March,3
2024-03-19,cash,,30.0,Cortado,10:20:25,10,Tuesday,March,3
2024-03-19,card,ANON-0000-0000-0065,38.7,Latte,14:02:21,14,Tuesday,March,3
2024-03-19,card,ANON-0000-0000-0065,38.7,Latte,14:03:19,14,Tuesday,March,3
2024-03-19,card,ANON-0000-0000-0049,38.7,Hot Chocolate,15:04:36,15,Tuesday,March,3
2024-03-19,card,ANON-0000-0000-0066,33.8,Americano with Milk,16:53:48,16,Tuesday,March,3
2024-03-19,cash,,40.0,Hot Chocolate,19:26:32,19,Tuesday,March,3
2024-03-20,card,ANON-0000-0000-0012,28.9,Cortado,11:41:16,11,Wednesday,March,3
2024-03-20,cash,,40.0,Latte,12:21:07,12,Wednesday,March,3
2024-03-20,card,ANON-0000-0000-0049,28.9,Cortado,12:30:48,12,Wednesday,March,3
2024-03-20,card,ANON-0000-0000-0067,38.7,Cappuccino,13:16:47,13,Wednesday,March,3
2024-03-20,card,ANON-0000-0000-0050,38.7,Cocoa,16:42:38,16,Wednesday,March,3
2024-03-20,card,ANON-0000-0000-0068,38.7,Latte,17:50:28,17,Wednesday,March,3
2024-03-21,cash,,40.0,Cappuccino,10:18:56,10,Thursday,March,3
2024-03-21,card,ANON-0000-0000-0012,28.9,Cortado,12:25:09,12,Thursday,March,3
2024-03-21,card,ANON-0000-0000-0012,38.7,Cappuccino,12:26:17,12,Thursday,March,3
2024-03-21,cash,,30.0,Americano,17:21:01,17,Thursday,March,3
2024-03-21,card,ANON-0000-0000-0012,28.9,Cortado,17:22:01,17,Thursday,March,3
2024-03-21,card,ANON-0000-0000-0069,38.7,Latte,19:20:36,19,Thursday,March,3
2024-03-22,card,ANON-0000-0000-0070,33.8,Americano with Milk,10:35:53,10,Friday,March,3
2024-03-22,card,ANON-0000-0000-0071,33.8,Americano with Milk,13:29:20,13,Friday,March,3
2024-03-22,cash,,40.0,Cappuccino,16:15:14,16,Friday,March,3
2024-03-22,card,ANON-0000-0000-0012,28.9,Americano,17:17:03,17,Friday,March,3
2024-03-22,card,ANON-0000-0000-0012,24.0,Espresso,17:17:58,17,Friday,March,3
2024-03-22,card,ANON-0000-0000-0050,28.9,Americano,17:20:49,17,Friday,March,3
2024-03-23,card,ANON-0000-0000-0072,38.7,Latte,10:43:59,10,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0073,33.8,Americano with Milk,10:45:07,10,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0074,38.7,Cappuccino,13:10:07,13,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0074,38.7,Cocoa,13:11:12,13,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0075,33.8,Americano with Milk,14:44:41,14,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0076,38.7,Latte,15:47:19,15,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0076,33.8,Americano with Milk,15:49:33,15,Saturday,March,3
2024-03-23,card,ANON-0000-0000-0009,28.9,Cortado,16:00:58,16,Saturday,March,3
2024-03-24,cash,,40.0,Latte,10:03:56,10,Sunday,March,3
2024-03-24,card,ANON-0000-0000-0077,38.7,Latte,18:45:08,18,Sunday,March,3
2024-03-25,card,ANON-0000-0000-0009,38.7,Latte,10:31:47,10,Monday,March,3
2024-03-25,cash,,35.0,Americano with Milk,11:16:25,11,Monday,March,3
2024-03-25,card,ANON-0000-0000-0078,38.7,Latte,14:27:09,14,Monday,March,3
2024-03-25,card,ANON-0000-0000-0017,38.7,Latte,14:29:25,14,Monday,March,3
2024-03-25,card,ANON-0000-0000-0024,33.8,Americano with Milk,18:37:30,18,Monday,March,3
2024-03-25,card,ANON-0000-0000-0079,38.7,Cappuccino,19:34:24,19,Monday,March,3
2024-03-26,card,ANON-0000-0000-0055,38.7,Cocoa,10:35:49,10,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0055,38.7,Latte,10:36:36,10,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0080,38.7,Latte,10:42:30,10,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0009,28.9,Cortado,11:11:47,11,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0003,28.9,Americano,13:35:52,13,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0032,28.9,Cortado,13:36:49,13,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0059,28.9,Cortado,13:37:59,13,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0050,28.9,Americano,13:57:53,13,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0081,38.7,Latte,15:48:02,15,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0024,38.7,Latte,18:33:38,18,Tuesday,March,3
2024-03-26,card,ANON-0000-0000-0009,38.7,Hot Chocolate,18:34:54,18,Tuesday,March,3
2024-03-27,card,ANON-0000-0000-0003,28.9,Cortado,11:04:51,11,Wednesday,March,3
2024-03-27,card,ANON-0000-0000-0003,33.8,Americano with Milk,11:05:58,11,Wednesday,March,3
2024-03-27,card,ANON-0000-0000-0082,33.8,Americano with Milk,12:57:00,12,Wednesday,March,3
2024-03-27,card,ANON-0000-0000-0083,38.7,Hot Chocolate,13:35:20,13,Wednesday,March,3
2024-03-27,card,ANON-0000-0000-0012,38.7,Cappuccino,14:22:31,14,Wednesday,March,3
2024-03-27,card,ANON-0000-0000-0012,28.9,Americano,14:23:35,14,Wednesday,March,3
2024-03-27,card,ANON-0000-0000-0084,28.9,Cortado,18:30:11,18,Wednesday,March,3
2024-03-27,cash,,40.0,Latte,19:31:12,19,Wednesday,March,3
2024-03-28,card,ANON-0000-0000-0085,28.9,Cortado,14:24:47,14,Thursday,March,3
2024-03-28,card,ANON-0000-0000-0012,28.9,Cortado,17:24:46,17,Thursday,March,3
2024-03-28,card,ANON-0000-0000-0012,28.9,Americano,17:27:05,17,Thursday,March,3
2024-03-28,card,ANON-0000-0000-0086,38.7,Latte,17:32:44,17,Thursday,March,3
2024-03-29,card,ANON-0000-0000-0087,38.7,Latte,10:56:19,10,Friday,March,3
2024-03-29,card,ANON-0000-0000-0088,38.7,Cappuccino,12:34:17,12,Friday,March,3
2024-03-29,card,ANON-0000-0000-0088,38.7,Cappuccino,12:41:32,12,Friday,March,3
2024-03-29,cash,,40.0,Cappuccino,13:22:44,13,Friday,March,3
2024-03-30,card,ANON-0000-0000-0069,38.7,Latte,11:59:19,11,Saturday,March,3
2024-03-30,cash,,40.0,Cappuccino,13:49:25,13,Saturday,March,3
2024-03-30,card,ANON-0000-0000-0017,38.7,Latte,16:12:31,16,Saturday,March,3
2024-03-30,card,ANON-0000-0000-0009,38.7,Latte,16:36:40,16,Saturday,March,3
2024-03-30,card,ANON-0000-0000-0009,33.8,Americano with Milk,16:37:57,16,Saturday,March,3
2024-03-31,card,ANON-0000-0000-0089,38.7,Cappuccino,10:40:04,10,Sunday,March,3
2024-03-31,cash,,30.0,Americano,19:36:45,19,Sunday,March,3
2024-04-01,card,ANON-0000-0000-0004,28.9,Americano,10:28:47,10,Monday,April,4
2024-04-01,card,ANON-0000-0000-0004,33.8,Americano with Milk,10:29:42,10,Monday,April,4
2024-04-01,card,ANON-0000-0000-0004,33.8,Americano with Milk,10:30:43,10,Monday,April,4
2024-04-01,card,ANON-0000-0000-0009,33.8,Americano with Milk,11:15:43,11,Monday,April,4
2024-04-01,cash,,40.0,Cappuccino,17:01:42,17,Monday,April,4
2024-04-01,card,ANON-0000-0000-0024,33.8,Americano with Milk,18:18:42,18,Monday,April,4
2024-04-01,card,ANON-0000-0000-0090,38.7,Hot Chocolate,18:45:27,18,Monday,April,4
2024-04-02,card,ANON-0000-0000-0001,38.7,Latte,10:01:14,10,Tuesday,April,4
2024-04-02,card,ANON-0000-0000-0003,28.9,Americano,16:18:34,16,Tuesday,April,4
2024-04-02,card,ANON-0000-0000-0003,28.9,Cortado,16:19:28,16,Tuesday,April,4
2024-04-02,cash,,40.0,Cappuccino,19:59:31,19,Tuesday,April,4
2024-04-03,card,ANON-0000-0000-0003,28.9,Cortado,10:19:13,10,Wednesday,April,4
2024-04-03,card,ANON-0000-0000-0003,28.9,Americano,10:20:07,10,Wednesday,April,4
2024-04-03,card,ANON-0000-0000-0012,38.7,Cappuccino,13:12:05,13,Wednesday,April,4
2024-04-03,cash,,30.0,Cortado,15:36:11,15,Wednesday,April,4
2024-04-04,card,ANON-0000-0000-0091,38.7,Latte,10:44:55,10,Thursday,April,4
2024-04-04,card,ANON-0000-0000-0092,38.7,Latte,11:26:38,11,Thursday,April,4
2024-04-04,card,ANON-0000-0000-0093,38.7,Cappuccino,11:27:48,11,Thursday,April,4
2024-04-04,card,ANON-0000-0000-0094,28.9,Cortado,12:23:02,12,Thursday,April,4
2024-04-04,cash,,40.0,Latte,19:42:07,19,Thursday,April,4
2024-04-05,card,ANON-0000-0000-0095,28.9,Americano,10:40:42,10,Friday,April,4
2024-04-05,card,ANON-0000-0000-0012,28.9,Americano,10:42:06,10,Friday,April,4
2024-04-05,card,ANON-0000-0000-0096,28.9,Cortado,11:06:14,11,Friday,April,4
2024-04-05,card,ANON-0000-0000-0097,33.8,Americano with Milk,12:14:27,12,Friday,April,4
2024-04-05,card,ANON-0000-0000-0098,38.7,Latte,14:23:40,14,Friday,April,4
2024-04-05,card,ANON-0000-0000-0098,28.9,Cortado,14:24:50,14,Friday,April,4
2024-04-05,cash,,40.0,Latte,15:30:50,15,Friday,April,4
2024-04-05,cash,,40.0,Cappuccino,15:54:15,15,Friday,April,4
2024-04-05,cash,,30.0,Americano,15:55:30,15,Friday,April,4
2024-04-05,cash,,40.0,Cocoa,16:17:43,16,Friday,April,4
2024-04-05,card,ANON-0000-0000-0003,24.0,Espresso,16:18:23,16,Friday,April,4
2024-04-06,card,ANON-0000-0000-0099,33.8,Americano with Milk,12:32:31,12,Saturday,April,4
2024-04-06,card,ANON-0000-0000-0040,38.7,Cappuccino,14:13:18,14,Saturday,April,4
2024-04-06,card,ANON-0000-0000-0040,28.9,Americano,14:14:27,14,Saturday,April,4
2024-04-06,card,ANON-0000-0000-0009,38.7,Latte,14:49:50,14,Saturday,April,4
2024-04-07,card,ANON-0000-0000-0091,38.7,Latte,10:12:53,10,Sunday,April,4
2024-04-07,card,ANON-0000-0000-0040,38.7,Cappuccino,12:44:31,12,Sunday,April,4
2024-04-07,card,ANON-0000-0000-0040,38.7,Cappuccino,12:46:05,12,Sunday,April,4
2024-04-07,card,ANON-0000-0000-0100,28.9,Cortado,14:16:24,14,Sunday,April,4
2024-04-07,card,ANON-0000-0000-0100,24.0,Espresso,14:17:30,14,Sunday,April,4
2024-04-07,card,ANON-0000-0000-0101,38.7,Hot Chocolate,18:01:16,18,Sunday,April,4
2024-04-07,card,ANON-0000-0000-0101,33.8,Americano with Milk,18:02:03,18,Sunday,April,4
2024-04-08,card,ANON-0000-0000-0102,33.8,Americano with Milk,10:58:21,10,Monday,April,4
2024-04-08,card,ANON-0000-0000-0103,38.7,Cappuccino,10:59:27,10,Monday,April,4
2024-04-08,card,ANON-0000-0000-0012,28.9,Americano,11:01:20,11,Monday,April,4
2024-04-08,card,ANON-0000-0000-0104,38.7,Cappuccino,11:04:47,11,Monday,April,4
2024-04-08,cash,,25.0,Espresso,12:54:25,12,Monday,April,4
2024-04-08,cash,,35.0,Americano with Milk,15:43:36,15,Monday,April,4
2024-04-08,card,ANON-0000-0000-0017,38.7,Latte,16:41:37,16,Monday,April,4
2024-04-08,card,ANON-0000-0000-0105,28.9,Americano,18:18:09,18,Monday,April,4
2024-04-08,card,ANON-0000-0000-0024,33.8,Americano with Milk,19:22:27,19,Monday,April,4
2024-04-08,card,ANON-0000-0000-0106,38.7,Cappuccino,19:23:59,19,Monday,April,4
2024-04-09,cash,,40.0,Cappuccino,10:22:27,10,Tuesday,April,4
2024-04-09,cash,,30.0,Americano,10:24:10,10,Tuesday,April,4
2024-04-09,card,ANON-0000-0000-0091,38.7,Latte,11:42:28,11,Tuesday,April,4
2024-04-09,card,ANON-0000-0000-0107,38.7,Hot Chocolate,15:11:48,15,Tuesday,April,4
2024-04-09,card,ANON-0000-0000-0049,38.7,Hot Chocolate,17:25:23,17,Tuesday,April,4
2024-04-10,cash,,25.0,Espresso,10:21:26,10,Wednesday,April,4
2024-04-10,cash,,40.0,Hot Chocolate,17:55:07,17,Wednesday,April,4
2024-04-10,card,ANON-0000-0000-0108,24.0,Espresso,17:55:31,17,Wednesday,April,4
2024-04-10,card,ANON-0000-0000-0009,38.7,Cappuccino,18:24:59,18,Wednesday,April,4
2024-04-10,card,ANON-0000-0000-0109,38.7,Latte,20:04:05,20,Wednesday,April,4
2024-04-11,card,ANON-0000-0000-0110,28.9,Americano,10:41:23,10,Thursday,April,4
2024-04-11,card,ANON-0000-0000-0110,28.9,Americano,10:42:59,10,Thursday,April,4
2024-04-11,card,ANON-0000-0000-0017,38.7,Latte,16:35:23,16,Thursday,April,4
2024-04-11,card,ANON-0000-0000-0106,38.7,Cappuccino,19:16:56,19,Thursday,April,4
2024-04-11,card,ANON-0000-0000-0024,33.8,Americano with Milk,19:18:36,19,Thursday,April,4
2024-04-12,card,ANON-0000-0000-0019,38.7,Hot Chocolate,19:03:43,19,Friday,April,4
2024-04-12,card,ANON-0000-0000-0009,28.9,Cortado,19:38:23,19,Friday,April,4
2024-04-13,card,ANON-0000-0000-0009,38.7,Latte,12:29:19,12,Saturday,April,4
2024-04-13,card,ANON-0000-0000-0012,28.9,Americano,12:43:02,12,Saturday,April,4
2024-04-13,cash,,40.0,Hot Chocolate,15:06:52,15,Saturday,April,4
2024-04-13,cash,,40.0,Hot Chocolate,15:07:55,15,Saturday,April,4
2024-04-13,card,ANON-0000-0000-0111,38.7,Cappuccino,16:18:03,16,Saturday,April,4
2024-04-13,card,ANON-0000-0000-0111,38.7,Latte,16:19:39,16,Saturday,April,4
2024-04-13,card,ANON-0000-0000-0112,38.7,Cappuccino,17:51:26,17,Saturday,April,4
2024-04-13,card,ANON-0000-0000-0012,38.7,Cappuccino,17:53:19,17,Saturday,April,4
2024-04-14,cash,,40.0,Latte,10:55:27,10,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0113,38.7,Cappuccino,12:24:39,12,Sunday,April,4
2024-04-14,cash,,30.0,Cortado,12:27:08,12,Sunday,April,4
2024-04-14,cash,,30.0,Cortado,12:29:06,12,Sunday,April,4
2024-04-14,cash,,35.0,Americano with Milk,12:31:36,12,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0114,28.9,Cortado,13:21:49,13,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0012,28.9,Americano,14:23:31,14,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0012,28.9,Americano,14:24:26,14,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0012,28.9,Americano,14:25:18,14,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0017,38.7,Cappuccino,15:46:27,15,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0012,28.9,Cortado,16:59:54,16,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0019,38.7,Latte,17:00:45,17,Sunday,April,4
2024-04-14,card,ANON-0000-0000-0115,38.7,Cappuccino,18:38:19,18,Sunday,April,4
2024-04-15,card,ANON-0000-0000-0064,28.9,Americano,11:45:24,11,Monday,April,4
